ID TIME DONE
# Manager.Done #1
64 9.98324 1.0
64 1000.68 1.0
# Manager.Done #65
65 0.0 0.0
65 13.0697 0.0
65 13.0697 0.0
65 13.8416 1.0
65 13.8416 1.0
65 1001.91 1.0
# Manager.Done #66
66 0.0 0.0
66 4.8647 0.0
66 4.8647 0.0
66 4.8647 1.0
66 1000.42 1.0
# Manager.Done #67
67 0.0 0.0
67 5.88822 0.0
67 5.88822 0.0
67 5.88822 1.0
67 5.88822 1.0
67 1000.55 1.0
# Manager.Done #68
68 0.0 0.0
68 10.0762 0.0
68 10.0762 0.0
68 10.7397 1.0
68 10.7397 1.0
68 1000.17 1.0
# Manager.Done #69
69 0.0 0.0
69 33.4644 0.0
69 33.4644 0.0
69 33.6814 1.0
69 33.6814 1.0
69 1000.63 1.0
# Manager.Done #70
70 0.0 0.0
70 16.4429 0.0
70 16.4429 0.0
70 16.7063 1.0
70 16.7063 1.0
70 1000.05 1.0
# Manager.Done #71
71 0.0 0.0
71 13.3988 0.0
71 13.3988 0.0
71 14.0138 1.0
71 14.0138 1.0
71 1000.1 1.0
# Manager.Done #72
72 0.0 0.0
72 18.3141 0.0
72 18.3141 0.0
72 18.526 1.0
72 18.526 1.0
72 1000.15 1.0
# Manager.Done #73
73 0.0 0.0
73 14.7059 0.0
73 14.7059 0.0
73 15.3427 1.0
73 15.3427 1.0
73 1000.13 1.0
# Manager.Done #74
74 0.0 0.0
74 12.2204 0.0
74 12.2204 0.0
74 12.9409 1.0
74 12.9409 1.0
74 1000.12 1.0
# Manager.Done #75
75 0.0 0.0
75 20.8533 0.0
75 20.8533 0.0
75 21.5996 1.0
75 21.5996 1.0
75 1000.18 1.0
# Manager.Done #76
76 0.0 0.0
76 18.6013 0.0
76 18.6013 0.0
76 19.1643 1.0
76 19.1643 1.0
76 1000.7 1.0
# Manager.Done #77
77 0.0 0.0
77 60.6454 0.0
77 60.6454 0.0
77 61.3901 1.0
77 61.3901 1.0
77 1000.35 1.0
# Manager.Done #78
78 0.0 0.0
78 3.61888 0.0
78 3.61888 0.0
78 4.29346 1.0
78 4.29346 1.0
78 1000.25 1.0
# Manager.Done #79
79 0.0 0.0
79 18.6271 0.0
79 18.6271 0.0
79 19.1877 1.0
79 19.1877 1.0
79 1001.07 1.0
# Manager.Done #80
80 0.0 0.0
80 10.4059 0.0
80 10.4059 0.0
80 10.4178 1.0
80 10.4178 1.0
80 1000.51 1.0
# Manager.Done #81
81 0.0 0.0
81 10.5417 0.0
