ID TIME DONE
# Manager.Done #1
15 18.0212 1.0
15 18.0212 1.0
15 1000.79 1.0
# Manager.Done #16
16 0.0 0.0
16 17.3193 0.0
16 17.3193 0.0
16 17.5446 1.0
16 17.5446 1.0
16 1000.11 1.0
# Manager.Done #17
17 0.0 0.0
17 5.50182 0.0
17 5.50182 0.0
17 6.04398 1.0
17 6.04398 1.0
17 1000.66 1.0
# Manager.Done #18
18 0.0 0.0
18 16.8075 0.0
18 16.8075 0.0
18 17.3768 1.0
18 17.3768 1.0
18 1000.11 1.0
# Manager.Done #19
19 0.0 0.0
19 44.1844 0.0
19 44.1844 0.0
19 44.6853 1.0
19 44.6853 1.0
19 1000.05 1.0
# Manager.Done #20
20 0.0 0.0
20 43.651 0.0
20 43.651 0.0
20 44.3577 1.0
20 44.3577 1.0
20 1000.16 1.0
# Manager.Done #21
21 0.0 0.0
21 17.7133 0.0
21 17.7133 0.0
21 18.1195 1.0
21 18.1195 1.0
21 1000.06 1.0
# Manager.Done #22
22 0.0 0.0
22 25.7571 0.0
22 25.7571 0.0
22 26.4088 1.0
22 26.4088 1.0
22 1000.13 1.0
# Manager.Done #23
23 0.0 0.0
23 8.23788 0.0
23 8.23788 0.0
23 8.54118 1.0
23 8.54118 1.0
23 1000.04 1.0
# Manager.Done #24
24 0.0 0.0
24 21.6051 0.0
24 21.6051 0.0
24 21.6051 1.0
24 1000.3 1.0
# Manager.Done #25
25 0.0 0.0
25 7.7111 0.0
25 7.7111 0.0
25 8.39146 1.0
25 8.39146 1.0
25 1000.04 1.0
# Manager.Done #26
26 0.0 0.0
26 8.13631 0.0
26 8.13631 0.0
26 8.89507 1.0
26 8.89507 1.0
26 1000.12 1.0
# Manager.Done #27
27 0.0 0.0
27 10.9532 0.0
27 10.9532 0.0
27 11.7058 1.0
27 11.7058 1.0
27 1000.26 1.0
# Manager.Done #28
28 0.0 0.0
28 28.3959 0.0
28 28.3959 0.0
28 28.8423 1.0
28 28.8423 1.0
28 1000.27 1.0
# Manager.Done #29
29 0.0 0.0
29 4.8046 0.0
29 4.8046 0.0
29 5.54029 1.0
29 5.54029 1.0
29 1000.56 1.0
# Manager.Done #30
30 0.0 0.0
30 26.2643 0.0
30 26.2643 0.0
30 27.003 1.0
30 27.003 1.0
30 1000.07 1.0
# Manager.Done #31
31 0.0 0.0
31 40.9599 0.0
31 40.9599 0.0
31 40.9599 1.0
31 1000.14 1.0
# Manager.Done #32
32 0.0 0.0
32 16.5919 0.0
32 16.5919 0.0
32 17.0769 1.0
32 17.0769 1.0
32 1000.64 1.0
# Manager.Done #33
33 0.0 0.0
33 37.6702 0.0
33 37.6702 0.0
33 38.2425 1.0
33 38.2425 1.0
33 1000.5 1.0
# Manager.Done #34
34 0.0 0.0
34 16.8188 0.0
34 16.8188 0.0
34 17.3197 1.0
34 17.3197 1.0
34 1000.14 1.0
# Manager.Done #35
35 0.0 0.0
35 17.269 0.0
35 17.269 0.0
35 18.0209 1.0
35 18.0209 1.0
35 1000.18 1.0
# Manager.Done #36
36 0.0 0.0
36 8.33443 0.0
36 8.33443 0.0
36 9.0361 1.0
36 9.0361 1.0
36 1000.97 1.0
# Manager.Done #37
37 0.0 0.0
37 6.33709 0.0
37 6.33709 0.0
37 6.99227 1.0
37 6.99227 1.0
37 1000.27 1.0
# Manager.Done #38
38 0.0 0.0
38 3.27499 0.0
38 3.27499 0.0
38 3.75655 1.0
38 3.75655 1.0
38 1000.29 1.0
# Manager.Done #39
39 0.0 0.0
39 9.986 0.0
39 9.986 0.0
39 10.5227 1.0
39 10.5227 1.0
39 1000.0 1.0
# Manager.Done #40
40 0.0 0.0
40 27.3722 0.0
40 27.3722 0.0
40 27.8853 1.0
40 27.8853 1.0
40 1000.74 1.0
# Manager.Done #41
41 0.0 0.0
41 6.45091 0.0
41 6.45091 0.0
41 6.9191 1.0
41 6.9191 1.0
41 1000.28 1.0
# Manager.Done #42
42 0.0 0.0
42 12.5566 0.0
42 12.5566 0.0
42 13.2397 1.0
42 13.2397 1.0
42 1000.59 1.0
# Manager.Done #43
43 0.0 0.0
43 7.96055 0.0
43 7.96055 0.0
43 8.58446 1.0
43 8.58446 1.0
43 1000.51 1.0
# Manager.Done #44
44 0.0 0.0
44 13.1662 0.0
44 13.1662 0.0
44 13.4856 1.0
44 13.4856 1.0
44 1000.31 1.0
# Manager.Done #45
45 0.0 0.0
45 27.2829 0.0
45 27.2829 0.0
45 27.7227 1.0
45 27.7227 1.0
45 1000.06 1.0
# Manager.Done #46
46 0.0 0.0
46 6.31115 0.0
46 6.31115 0.0
46 6.95902 1.0
46 6.95902 1.0
46 1000.38 1.0
# Manager.Done #47
47 0.0 0.0
47 9.90973 0.0
47 9.90973 0.0
47 10.5752 1.0
47 10.5752 1.0
47 1000.15 1.0
# Manager.Done #48
48 0.0 0.0
48 14.583 0.0
48 14.583 0.0
48 14.8041 1.0
48 14.8041 1.0
48 1000.03 1.0
# Manager.Done #49
49 0.0 0.0
49 22.7063 0.0
49 22.7063 0.0
49 23.1839 1.0
49 23.1839 1.0
49 1000.61 1.0
# Manager.Done #50
50 0.0 0.0
50 4.08721 0.0
50 4.08721 0.0
50 4.79968 1.0
50 4.79968 1.0
50 1000.42 1.0
# Manager.Done #51
51 0.0 0.0
51 26.127 0.0
51 26.127 0.0
51 26.1465 1.0
51 26.1465 1.0
51 1000.24 1.0
# Manager.Done #52
52 0.0 0.0
52 37.5928 0.0
52 37.5928 0.0
52 38.2731 1.0
52 38.2731 1.0
52 1000.01 1.0
# Manager.Done #53
53 0.0 0.0
53 3.12149 0.0
53 3.12149 0.0
53 3.86726 1.0
53 3.86726 1.0
53 1000.28 1.0
# Manager.Done #54
54 0.0 0.0
54 38.8842 0.0
54 38.8842 0.0
54 39.6136 1.0
54 39.6136 1.0
54 1000.37 1.0
# Manager.Done #55
55 0.0 0.0
55 3.87223 0.0
55 3.87223 0.0
55 4.58524 1.0
55 4.58524 1.0
55 1000.23 1.0
# Manager.Done #56
56 0.0 0.0
