ID TIME DONE
# Manager.Done #1
15 62.0901 1.0
15 62.0901 1.0
15 1000.18 1.0
# Manager.Done #16
16 0.0 0.0
16 60.981 0.0
16 60.981 0.0
16 61.1327 1.0
16 61.1327 1.0
16 1000.01 1.0
# Manager.Done #17
17 0.0 0.0
17 14.6123 0.0
17 14.6123 0.0
17 15.3366 1.0
17 15.3366 1.0
17 1000.95 1.0
# Manager.Done #18
18 0.0 0.0
18 3.18885 0.0
18 3.18885 0.0
18 3.77593 1.0
18 3.77593 1.0
18 1000.22 1.0
# Manager.Done #19
19 0.0 0.0
19 27.6311 0.0
19 27.6311 0.0
19 28.3041 1.0
19 28.3041 1.0
19 1000.3 1.0
# Manager.Done #20
20 0.0 0.0
20 35.4028 0.0
20 35.4028 0.0
20 36.1686 1.0
20 36.1686 1.0
20 1000.2 1.0
# Manager.Done #21
21 0.0 0.0
21 13.0912 0.0
21 13.0912 0.0
21 13.819 1.0
21 13.819 1.0
21 1000.12 1.0
# Manager.Done #22
22 0.0 0.0
22 36.5967 0.0
22 36.5967 0.0
22 37.2734 1.0
22 37.2734 1.0
22 1000.2 1.0
# Manager.Done #23
23 0.0 0.0
23 4.43358 0.0
23 4.43358 0.0
23 5.08801 1.0
23 5.08801 1.0
23 1000.45 1.0
# Manager.Done #24
24 0.0 0.0
24 79.3531 0.0
24 79.3531 0.0
24 79.9977 1.0
24 79.9977 1.0
24 1000.18 1.0
# Manager.Done #25
25 0.0 0.0
25 13.0019 0.0
25 13.0019 0.0
25 13.3195 1.0
25 13.3195 1.0
25 1000.01 1.0
# Manager.Done #26
26 0.0 0.0
26 63.971 0.0
26 63.971 0.0
26 64.7202 1.0
26 64.7202 1.0
26 1000.1 1.0
# Manager.Done #27
27 0.0 0.0
27 45.5186 0.0
27 45.5186 0.0
27 45.6892 1.0
27 45.6892 1.0
27 1000.09 1.0
# Manager.Done #28
28 0.0 0.0
28 49.1239 0.0
28 49.1239 0.0
28 49.8727 1.0
28 49.8727 1.0
28 1000.31 1.0
# Manager.Done #29
29 0.0 0.0
29 57.0295 0.0
29 57.0295 0.0
29 57.7104 1.0
29 57.7104 1.0
29 1000.02 1.0
# Manager.Done #30
30 0.0 0.0
30 91.575 0.0
30 91.575 0.0
30 92.153 1.0
30 92.153 1.0
30 1000.1 1.0
# Manager.Done #31
31 0.0 0.0
31 57.0888 0.0
31 57.0888 0.0
31 57.3772 1.0
31 57.3772 1.0
31 1000.01 1.0
# Manager.Done #32
32 0.0 0.0
32 74.6781 0.0
32 74.6781 0.0
32 75.3516 1.0
32 75.3516 1.0
32 1000.36 1.0
# Manager.Done #33
33 0.0 0.0
33 94.0793 0.0
33 94.0793 0.0
33 94.8433 1.0
33 94.8433 1.0
33 1000.26 1.0
# Manager.Done #34
34 0.0 0.0
34 13.9047 0.0
34 13.9047 0.0
34 14.2974 1.0
34 14.2974 1.0
34 1000.21 1.0
# Manager.Done #35
35 0.0 0.0
35 21.8965 0.0
35 21.8965 0.0
35 22.411 1.0
35 22.411 1.0
35 1000.15 1.0
# Manager.Done #36
36 0.0 0.0
36 62.4579 0.0
36 62.4579 0.0
36 63.0403 1.0
36 63.0403 1.0
36 1000.13 1.0
# Manager.Done #37
37 0.0 0.0
37 4.8562 0.0
37 4.8562 0.0
37 5.36711 1.0
37 5.36711 1.0
37 1000.4 1.0
# Manager.Done #38
38 0.0 0.0
38 49.2888 0.0
38 49.2888 0.0
38 50.0092 1.0
38 50.0092 1.0
38 1000.16 1.0
# Manager.Done #39
39 0.0 0.0
39 25.8181 0.0
39 25.8181 0.0
39 26.4275 1.0
39 26.4275 1.0
39 1000.16 1.0
# Manager.Done #40
40 0.0 0.0
40 20.6522 0.0
40 20.6522 0.0
40 21.0467 1.0
40 21.0467 1.0
40 1000.06 1.0
# Manager.Done #41
41 0.0 0.0
41 21.4448 0.0
41 21.4448 0.0
41 21.705 1.0
41 21.705 1.0
41 1000.23 1.0
# Manager.Done #42
42 0.0 0.0
42 27.628 0.0
42 27.628 0.0
42 28.2638 1.0
42 28.2638 1.0
42 1000.03 1.0
# Manager.Done #43
43 0.0 0.0
43 188.254 0.0
43 188.254 0.0
43 188.368 1.0
43 188.368 1.0
43 1000.18 1.0
# Manager.Done #44
44 0.0 0.0
44 29.0054 0.0
44 29.0054 0.0
44 29.6663 1.0
44 29.6663 1.0
44 1000.25 1.0
# Manager.Done #45
45 0.0 0.0
45 11.9378 0.0
45 11.9378 0.0
45 12.647 1.0
45 12.647 1.0
45 1000.04 1.0
# Manager.Done #46
46 0.0 0.0
46 59.2635 0.0
46 59.2635 0.0
46 59.768 1.0
46 59.768 1.0
46 1000.04 1.0
# Manager.Done #47
47 0.0 0.0
47 24.7401 0.0
47 24.7401 0.0
47 25.0087 1.0
47 25.0087 1.0
47 1000.09 1.0
# Manager.Done #48
48 0.0 0.0
48 25.341 0.0
48 25.341 0.0
48 26.0185 1.0
48 26.0185 1.0
48 1000.03 1.0
# Manager.Done #49
49 0.0 0.0
49 42.7763 0.0
49 42.7763 0.0
49 43.4864 1.0
49 43.4864 1.0
49 1000.32 1.0
# Manager.Done #50
50 0.0 0.0
50 24.4324 0.0
50 24.4324 0.0
50 24.6713 1.0
50 24.6713 1.0
50 1000.07 1.0
# Manager.Done #51
51 0.0 0.0
51 51.3054 0.0
51 51.3054 0.0
51 51.3054 1.0
51 51.3054 1.0
51 1000.36 1.0
# Manager.Done #52
52 0.0 0.0
52 13.1865 0.0
52 13.1865 0.0
52 13.8236 1.0
52 13.8236 1.0
52 1000.02 1.0
# Manager.Done #53
53 0.0 0.0
53 52.4918 0.0
53 52.4918 0.0
53 53.0935 1.0
53 53.0935 1.0
53 1000.09 1.0
# Manager.Done #54
54 0.0 0.0
54 76.7649 0.0
54 76.7649 0.0
54 76.9324 1.0
54 76.9324 1.0
54 1000.49 1.0
# Manager.Done #55
55 0.0 0.0
55 20.0941 0.0
55 20.0941 0.0
55 20.6679 1.0
55 20.6679 1.0
55 1000.07 1.0
# Manager.Done #56
56 0.0 0.0
